Elite = mu=60.223, sigma=1.321
Rosalyan = mu=66.659, sigma=3.483
Vakaeltraz = mu=55.592, sigma=1.054
J_sk8 = mu=54.617, sigma=1.092
Lu_K = mu=53.763, sigma=1.641
Melwin = mu=51.693, sigma=1.272
Clem = mu=49.980, sigma=1.169
JeanCube = mu=52.962, sigma=2.542
Oleas = mu=56.247, sigma=4.235
Thaumas = mu=51.464, sigma=2.719
Daytona_69 = mu=46.887, sigma=1.836
Ether-Zero = mu=52.986, sigma=4.335
Rayou = mu=54.347, sigma=5.406
Tomwilson = mu=49.867, sigma=4.522
Brook1l = mu=43.498, sigma=2.413
Hardox = mu=40.936, sigma=2.108
Camou = mu=44.526, sigma=3.567
Kemoory = mu=40.491, sigma=2.254
Fozlo = mu=37.814, sigma=2.073
Mirijason = mu=39.097, sigma=5.607
Tomy = mu=35.993, sigma=4.691
