Elite = mu=60.223, sigma=1.321
Rosalyan = mu=66.127, sigma=3.705
Vakaeltraz = mu=56.083, sigma=1.093
J_sk8 = mu=54.768, sigma=1.118
Melwin = mu=52.163, sigma=1.307
Lu_K = mu=52.170, sigma=1.793
Clem = mu=50.045, sigma=1.190
JeanCube = mu=52.962, sigma=2.542
Oleas = mu=56.247, sigma=4.235
Thaumas = mu=51.464, sigma=2.719
Ether-Zero = mu=52.986, sigma=4.335
Daytona_69 = mu=45.619, sigma=2.056
Rayou = mu=54.347, sigma=5.406
Tomwilson = mu=49.867, sigma=4.522
Brook1l = mu=43.498, sigma=2.413
Hardox = mu=40.936, sigma=2.108
Camou = mu=44.526, sigma=3.567
Kemoory = mu=40.491, sigma=2.254
Fozlo = mu=37.930, sigma=2.109
Mirijason = mu=39.097, sigma=5.607
Tomy = mu=35.993, sigma=4.691
